,date,team,conference,net_score,games,wins,losses
0,2018-10-16,PHILADELPHIA_76ERS,Eastern,-18,1,0,1
1,2018-10-16,BOSTON_CELTICS,Eastern,18,1,1,0
2,2018-10-16,OKLAHOMA_CITY_THUNDER,Western,-8,1,0,1
3,2018-10-16,GOLDEN_STATE_WARRIORS,Western,8,1,1,0
4,2018-10-17,MILWAUKEE_BUCKS,Eastern,1,1,1,0
5,2018-10-17,CHARLOTTE_HORNETS,Eastern,-1,1,0,1
6,2018-10-17,BROOKLYN_NETS,Eastern,-3,1,0,1
7,2018-10-17,DETROIT_PISTONS,Eastern,3,1,1,0
8,2018-10-17,MEMPHIS_GRIZZLIES,Western,-28,1,0,1
9,2018-10-17,INDIANA_PACERS,Eastern,28,1,1,0
10,2018-10-17,MIAMI_HEAT,Eastern,-3,1,0,1
11,2018-10-17,ORLANDO_MAGIC,Eastern,3,1,1,0
12,2018-10-17,ATLANTA_HAWKS,Eastern,-19,1,0,1
13,2018-10-17,NEW_YORK_KNICKS,Eastern,19,1,1,0
14,2018-10-17,CLEVELAND_CAVALIERS,Eastern,-12,1,0,1
15,2018-10-17,TORONTO_RAPTORS,Eastern,12,1,1,0
16,2018-10-17,NEW_ORLEANS_PELICANS,Western,19,1,1,0
17,2018-10-17,HOUSTON_ROCKETS,Western,-19,1,0,1
18,2018-10-17,MINNESOTA_TIMBERWOLVES,Western,-4,1,0,1
19,2018-10-17,SAN_ANTONIO_SPURS,Western,4,1,1,0
20,2018-10-17,UTAH_JAZZ,Western,6,1,1,0
21,2018-10-17,SACRAMENTO_KINGS,Western,-6,1,0,1
22,2018-10-17,DENVER_NUGGETS,Western,9,1,1,0
23,2018-10-17,LOS_ANGELES_CLIPPERS,Western,-9,1,0,1
24,2018-10-17,DALLAS_MAVERICKS,Western,-21,1,0,1
25,2018-10-17,PHOENIX_SUNS,Western,21,1,1,0
26,2018-10-18,CHICAGO_BULLS,Eastern,-19,1,0,1
27,2018-10-18,PHILADELPHIA_76ERS,Eastern,1,2,1,1
28,2018-10-18,MIAMI_HEAT,Eastern,-2,2,1,1
29,2018-10-18,WASHINGTON_WIZARDS,Eastern,-1,1,0,1
30,2018-10-18,LOS_ANGELES_LAKERS,Western,-9,1,0,1
31,2018-10-18,PORTLAND_TRAIL_BLAZERS,Western,9,1,1,0
32,2018-10-19,CHARLOTTE_HORNETS,Eastern,31,2,1,1
33,2018-10-19,ORLANDO_MAGIC,Eastern,-29,2,1,1
34,2018-10-19,NEW_YORK_KNICKS,Eastern,17,2,1,1
35,2018-10-19,BROOKLYN_NETS,Eastern,-1,2,1,1
36,2018-10-19,ATLANTA_HAWKS,Eastern,-33,2,0,2
37,2018-10-19,MEMPHIS_GRIZZLIES,Western,-14,2,1,1
38,2018-10-19,CLEVELAND_CAVALIERS,Eastern,-20,2,0,2
39,2018-10-19,MINNESOTA_TIMBERWOLVES,Western,4,2,1,1
40,2018-10-19,SACRAMENTO_KINGS,Western,-26,2,0,2
41,2018-10-19,NEW_ORLEANS_PELICANS,Western,39,2,2,0
42,2018-10-19,BOSTON_CELTICS,Eastern,6,2,1,1
43,2018-10-19,TORONTO_RAPTORS,Eastern,24,2,2,0
44,2018-10-19,INDIANA_PACERS,Eastern,11,2,1,1
45,2018-10-19,MILWAUKEE_BUCKS,Eastern,18,2,2,0
46,2018-10-19,OKLAHOMA_CITY_THUNDER,Western,-24,2,0,2
47,2018-10-19,LOS_ANGELES_CLIPPERS,Western,7,2,1,1
48,2018-10-19,GOLDEN_STATE_WARRIORS,Western,9,2,2,0
49,2018-10-19,UTAH_JAZZ,Western,5,2,1,1
50,2018-10-20,BROOKLYN_NETS,Eastern,-21,3,1,2
51,2018-10-20,INDIANA_PACERS,Eastern,31,3,2,1
52,2018-10-20,TORONTO_RAPTORS,Eastern,28,3,3,0
53,2018-10-20,WASHINGTON_WIZARDS,Eastern,-5,2,0,2
54,2018-10-20,BOSTON_CELTICS,Eastern,8,3,2,1
55,2018-10-20,NEW_YORK_KNICKS,Eastern,15,3,1,2
56,2018-10-20,ORLANDO_MAGIC,Eastern,-30,3,1,2
57,2018-10-20,PHILADELPHIA_76ERS,Eastern,2,3,2,1
58,2018-10-20,DETROIT_PISTONS,Eastern,5,2,2,0
59,2018-10-20,CHICAGO_BULLS,Eastern,-21,2,0,2
60,2018-10-20,CHARLOTTE_HORNETS,Eastern,32,3,2,1
61,2018-10-20,MIAMI_HEAT,Eastern,-3,3,1,2
62,2018-10-20,MINNESOTA_TIMBERWOLVES,Western,0,3,1,2
63,2018-10-20,DALLAS_MAVERICKS,Western,-17,2,1,1
64,2018-10-20,PHOENIX_SUNS,Western,-7,2,1,1
65,2018-10-20,DENVER_NUGGETS,Western,37,2,2,0
66,2018-10-20,SAN_ANTONIO_SPURS,Western,-9,2,1,1
67,2018-10-20,PORTLAND_TRAIL_BLAZERS,Western,22,2,2,0
68,2018-10-20,HOUSTON_ROCKETS,Western,-10,2,1,1
69,2018-10-20,LOS_ANGELES_LAKERS,Western,-18,2,0,2
70,2018-10-21,ATLANTA_HAWKS,Eastern,-11,3,1,2
71,2018-10-21,CLEVELAND_CAVALIERS,Eastern,-42,3,0,3
72,2018-10-21,SACRAMENTO_KINGS,Western,-15,3,1,2
73,2018-10-21,OKLAHOMA_CITY_THUNDER,Western,-35,3,0,3
74,2018-10-21,GOLDEN_STATE_WARRIORS,Western,7,3,2,1
75,2018-10-21,DENVER_NUGGETS,Western,39,3,3,0
76,2018-10-21,HOUSTON_ROCKETS,Western,-13,3,1,2
77,2018-10-21,LOS_ANGELES_CLIPPERS,Western,10,3,2,1
78,2018-10-22,ORLANDO_MAGIC,Eastern,-27,4,2,2
79,2018-10-22,BOSTON_CELTICS,Eastern,5,4,2,2
80,2018-10-22,CHARLOTTE_HORNETS,Eastern,11,4,2,2
81,2018-10-22,TORONTO_RAPTORS,Eastern,49,4,4,0
82,2018-10-22,NEW_YORK_KNICKS,Eastern,4,4,1,3
83,2018-10-22,MILWAUKEE_BUCKS,Eastern,29,3,3,0
84,2018-10-22,INDIANA_PACERS,Eastern,21,4,2,2
85,2018-10-22,MINNESOTA_TIMBERWOLVES,Western,10,4,2,2
86,2018-10-22,CHICAGO_BULLS,Eastern,-27,3,0,3
87,2018-10-22,DALLAS_MAVERICKS,Western,-11,3,2,1
88,2018-10-22,MEMPHIS_GRIZZLIES,Western,-6,3,2,1
89,2018-10-22,UTAH_JAZZ,Western,-3,3,1,2
90,2018-10-22,WASHINGTON_WIZARDS,Eastern,-4,3,1,2
91,2018-10-22,PORTLAND_TRAIL_BLAZERS,Western,21,3,2,1
92,2018-10-22,PHOENIX_SUNS,Western,-27,3,1,2
93,2018-10-22,GOLDEN_STATE_WARRIORS,Western,27,4,3,1
94,2018-10-22,SAN_ANTONIO_SPURS,Western,-8,3,2,1
95,2018-10-22,LOS_ANGELES_LAKERS,Western,-19,3,0,3
96,2018-10-23,PHILADELPHIA_76ERS,Eastern,1,4,2,2
97,2018-10-23,DETROIT_PISTONS,Eastern,6,3,3,0
98,2018-10-23,LOS_ANGELES_CLIPPERS,Western,3,4,2,2
99,2018-10-23,NEW_ORLEANS_PELICANS,Western,46,3,3,0
100,2018-10-23,SACRAMENTO_KINGS,Western,-29,4,1,3
101,2018-10-23,DENVER_NUGGETS,Western,53,4,4,0
102,2018-10-24,DALLAS_MAVERICKS,Western,-18,4,2,2
103,2018-10-24,ATLANTA_HAWKS,Eastern,-4,4,2,2
104,2018-10-24,BROOKLYN_NETS,Eastern,-5,4,2,2
105,2018-10-24,CLEVELAND_CAVALIERS,Eastern,-58,4,0,4
106,2018-10-24,NEW_YORK_KNICKS,Eastern,-19,5,1,4
107,2018-10-24,MIAMI_HEAT,Eastern,20,4,2,2
108,2018-10-24,MINNESOTA_TIMBERWOLVES,Western,3,5,2,3
109,2018-10-24,TORONTO_RAPTORS,Eastern,56,5,5,0
110,2018-10-24,CHARLOTTE_HORNETS,Eastern,9,5,2,3
111,2018-10-24,CHICAGO_BULLS,Eastern,-25,4,1,3
112,2018-10-24,UTAH_JAZZ,Western,8,4,2,2
113,2018-10-24,HOUSTON_ROCKETS,Western,-24,4,1,3
114,2018-10-24,INDIANA_PACERS,Eastern,41,5,3,2
115,2018-10-24,SAN_ANTONIO_SPURS,Western,-28,4,2,2
116,2018-10-24,PHILADELPHIA_76ERS,Eastern,-14,5,2,3
117,2018-10-24,MILWAUKEE_BUCKS,Eastern,44,4,4,0
118,2018-10-24,LOS_ANGELES_LAKERS,Western,-1,4,1,3
119,2018-10-24,PHOENIX_SUNS,Western,-45,4,1,3
120,2018-10-24,MEMPHIS_GRIZZLIES,Western,-11,4,2,2
121,2018-10-24,SACRAMENTO_KINGS,Western,-24,5,2,3
122,2018-10-24,WASHINGTON_WIZARDS,Eastern,-26,4,1,3
123,2018-10-24,GOLDEN_STATE_WARRIORS,Western,49,5,4,1
124,2018-10-25,CLEVELAND_CAVALIERS,Eastern,-65,5,0,5
125,2018-10-25,DETROIT_PISTONS,Eastern,13,4,4,0
126,2018-10-25,PORTLAND_TRAIL_BLAZERS,Western,35,4,3,1
127,2018-10-25,ORLANDO_MAGIC,Eastern,-41,5,2,3
128,2018-10-25,BOSTON_CELTICS,Eastern,11,5,3,2
129,2018-10-25,OKLAHOMA_CITY_THUNDER,Western,-41,4,0,4
130,2018-10-25,DENVER_NUGGETS,Western,46,5,4,1
131,2018-10-25,LOS_ANGELES_LAKERS,Western,6,5,2,3
132,2018-10-26,CHICAGO_BULLS,Eastern,-54,5,1,4
133,2018-10-26,CHARLOTTE_HORNETS,Eastern,38,6,3,3
134,2018-10-26,GOLDEN_STATE_WARRIORS,Western,77,6,5,1
135,2018-10-26,NEW_YORK_KNICKS,Eastern,-47,6,1,5
136,2018-10-26,DALLAS_MAVERICKS,Western,-27,5,2,3
