,team,outcome,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_date,home,rest_days,travelled,rest_cats,win
0,PHILADELPHIA_76ERS,LOSS,240,34,87,5,26,14,23,6,41,18,8,5,16,20,87,2018-10-16,False,10,True,2+ Days,False
1,BOSTON_CELTICS,WIN,240,42,97,11,37,10,14,12,43,21,7,5,14,20,105,2018-10-16,True,10,False,2+ Days,True
2,OKLAHOMA_CITY_THUNDER,LOSS,240,33,91,10,37,24,37,16,29,21,12,6,14,21,100,2018-10-16,False,10,True,2+ Days,False
3,GOLDEN_STATE_WARRIORS,WIN,240,42,95,7,26,17,18,17,41,28,7,7,21,29,108,2018-10-16,True,10,False,2+ Days,True
4,MILWAUKEE_BUCKS,WIN,240,42,85,14,34,15,20,11,46,26,5,4,21,25,113,2018-10-17,False,10,True,2+ Days,True
5,CHARLOTTE_HORNETS,LOSS,240,41,92,16,38,14,22,9,32,21,8,9,11,19,112,2018-10-17,True,10,False,2+ Days,False
6,BROOKLYN_NETS,LOSS,240,40,82,5,27,15,22,5,34,28,9,5,17,23,100,2018-10-17,False,10,True,2+ Days,False
7,DETROIT_PISTONS,WIN,240,39,92,6,24,19,22,14,32,21,5,5,14,20,103,2018-10-17,True,10,False,2+ Days,True
8,NEW_ORLEANS_PELICANS,WIN,240,52,98,10,25,17,22,14,40,36,8,3,12,25,131,2018-10-17,False,10,True,2+ Days,True
9,HOUSTON_ROCKETS,LOSS,240,39,92,16,48,18,24,8,29,21,8,7,11,22,112,2018-10-17,True,10,False,2+ Days,False
10,MEMPHIS_GRIZZLIES,LOSS,240,25,84,10,29,23,28,7,21,16,11,3,7,18,83,2018-10-17,False,10,True,2+ Days,False
11,INDIANA_PACERS,WIN,240,47,83,10,26,7,13,13,44,29,2,7,20,24,111,2018-10-17,True,10,False,2+ Days,True
12,DENVER_NUGGETS,WIN,240,33,87,8,24,33,42,14,42,20,6,9,10,22,107,2018-10-17,False,10,True,2+ Days,True
13,LOS_ANGELES_CLIPPERS,LOSS,240,35,88,8,28,20,24,9,38,21,3,9,12,32,98,2018-10-17,True,10,False,2+ Days,False
14,ATLANTA_HAWKS,LOSS,240,41,90,10,36,15,18,7,38,19,7,3,24,30,107,2018-10-17,False,10,True,2+ Days,False
15,NEW_YORK_KNICKS,WIN,240,45,99,12,33,24,31,10,36,21,12,6,15,23,126,2018-10-17,True,10,False,2+ Days,True
16,MIAMI_HEAT,LOSS,240,38,97,9,33,16,22,14,38,16,4,5,16,28,101,2018-10-17,False,10,True,2+ Days,False
17,ORLANDO_MAGIC,WIN,240,39,94,7,25,19,31,14,37,20,7,7,12,25,104,2018-10-17,True,10,False,2+ Days,True
18,DALLAS_MAVERICKS,LOSS,240,38,88,10,33,14,20,10,28,28,7,5,9,16,100,2018-10-17,False,10,True,2+ Days,False
19,PHOENIX_SUNS,WIN,240,44,81,19,34,14,16,6,38,35,5,2,11,22,121,2018-10-17,True,10,False,2+ Days,True
20,UTAH_JAZZ,WIN,240,41,79,13,27,28,38,5,39,21,8,4,17,19,123,2018-10-17,False,10,True,2+ Days,True
21,SACRAMENTO_KINGS,LOSS,240,49,95,7,19,12,18,5,32,17,8,3,9,27,117,2018-10-17,True,10,False,2+ Days,False
22,MINNESOTA_TIMBERWOLVES,LOSS,240,39,91,6,19,24,27,14,32,20,9,2,11,27,108,2018-10-17,False,10,True,2+ Days,False
23,SAN_ANTONIO_SPURS,WIN,240,40,93,11,25,21,29,19,33,22,3,4,12,22,112,2018-10-17,True,10,False,2+ Days,True
24,CLEVELAND_CAVALIERS,LOSS,240,34,85,7,19,29,39,14,35,17,4,0,16,25,104,2018-10-17,False,10,True,2+ Days,False
25,TORONTO_RAPTORS,WIN,240,45,92,14,33,12,20,8,35,21,6,7,9,29,116,2018-10-17,True,10,False,2+ Days,True
