,Country Name,Country Code,Indicator Name,Indicator Code,year,hosp_per_1000
0,Aruba,ABW,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
1,Afghanistan,AFG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,0.17062699794769298
2,Angola,AGO,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,2.06146168708801
3,Albania,ALB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,5.1026759147644
4,Andorra,AND,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
5,Arab World,ARB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,1.92730144882262
6,United Arab Emirates,ARE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
7,Argentina,ARG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,6.35225057601929
8,Armenia,ARM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
9,American Samoa,ASM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
10,Antigua and Barbuda,ATG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,7.70642185211182
11,Australia,AUS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,11.1999998092651
12,Austria,AUT,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,10.8000001907349
13,Azerbaijan,AZE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
14,Burundi,BDI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,1.12240731716156
15,Belgium,BEL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
16,Benin,BEN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,1.22574877738953
17,Burkina Faso,BFA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,0.5237581133842469
18,Bangladesh,BGD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
19,Bulgaria,BGR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,6.21367740631104
20,Bahrain,BHR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,4.71140956878662
21,"Bahamas, The",BHS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,5.72566366195679
22,Bosnia and Herzegovina,BIH,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
23,Belarus,BLR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
24,Belize,BLZ,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,4.66776514053345
25,Bermuda,BMU,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
26,Bolivia,BOL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,1.8454192876815805
27,Brazil,BRA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,3.20179533958435
28,Barbados,BRB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,5.9297790527343786
29,Brunei Darussalam,BRN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,4.90243911743164
30,Bhutan,BTN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
31,Botswana,BWA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,2.12291669845581
32,Central African Republic,CAF,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,1.23142111301422
33,Canada,CAN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,6.199999809265139
34,Central Europe and the Baltics,CEB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
35,Switzerland,CHE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
36,Channel Islands,CHI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,11.153845787048304
37,Chile,CHL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,3.6742901802063
38,China,CHN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
39,Cote d'Ivoire,CIV,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,1.34876954555511
40,Cameroon,CMR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,2.00226593017578
41,"Congo, Dem. Rep.",COD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,5.67403650283813
42,"Congo, Rep.",COG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,3.75708508491516
43,Colombia,COL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,2.57554721832275
44,Comoros,COM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
45,Cabo Verde,CPV,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
46,Costa Rica,CRI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,4.7907772064209
47,Caribbean small states,CSS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,5.05424028520153
48,Cuba,CUB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,4.36649942398071
49,Curacao,CUW,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
50,Cayman Islands,CYM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
51,Cyprus,CYP,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,4.52356004714966
52,Czech Republic,CZE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
53,Germany,DEU,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,10.5
54,Djibouti,DJI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,7.83132553100586
55,Dominica,DMA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,4.54394674301147
56,Denmark,DNK,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
57,Dominican Republic,DOM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,2.3286907672882102
58,Algeria,DZA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,3.18740749359131
59,East Asia & Pacific (excluding high income),EAP,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
60,Early-demographic dividend,EAR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,0.920140680756755
61,East Asia & Pacific,EAS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
62,Europe & Central Asia (excluding high income),ECA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
63,Europe & Central Asia,ECS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
64,Ecuador,ECU,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,1.87069153785706
65,"Egypt, Arab Rep.",EGY,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,2.14697933197021
66,Euro area,EMU,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
67,Eritrea,ERI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
68,Spain,ESP,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
69,Estonia,EST,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
70,Ethiopia,ETH,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,0.29423388838768
71,European Union,EUU,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
72,Fragile and conflict affected situations,FCS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,1.73776937476058
73,Finland,FIN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
74,Fiji,FJI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,4.04060935974121
75,France,FRA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
76,Faroe Islands,FRO,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
77,"Micronesia, Fed. Sts.",FSM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
78,Gabon,GAB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,5.71399164199829
79,United Kingdom,GBR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,10.6999998092651
80,Georgia,GEO,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
81,Ghana,GHA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,0.779893696308136
82,Gibraltar,GIB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
83,Guinea,GIN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,0.7391581535339359
84,"Gambia, The",GMB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,1.18181812763214
85,Guinea-Bissau,GNB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,1.62118494510651
86,Equatorial Guinea,GNQ,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,4.996031761169429
87,Greece,GRC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,5.800000190734861
88,Grenada,GRD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,6.22222232818604
89,Greenland,GRL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
90,Guatemala,GTM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,2.6310875415802
91,Guam,GUM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
92,Guyana,GUY,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,5.574692249298098
93,High income,HIC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,8.9393636328952
94,"Hong Kong SAR, China",HKG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,2.6403393745422403
95,Honduras,HND,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,1.64625132083893
96,Heavily indebted poor countries (HIPC),HPC,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,1.51654605785714
97,Croatia,HRV,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
98,Haiti,HTI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,0.6088328361511229
99,Hungary,HUN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
100,IBRD only,IBD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
101,IDA & IBRD total,IBT,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,
102,IDA total,IDA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,1.11639778791616
103,IDA blend,IDB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,0.8592736436568241
104,Indonesia,IDN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,0.740457057952881
105,IDA only,IDX,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,1.25864312806862
106,Isle of Man,IMN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1960,1.84498372951453
