,slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,fan_ppg
0,hardeja01,James Harden,POINT_GUARD,29,HOUSTON_ROCKETS,78,78,2867,843,1909,378,1028,754,858,66,452,586,158,58,387,244,2818,55.94358974358975
1,antetgi01,Giannis Antetokounmpo,POWER_FORWARD,24,MILWAUKEE_BUCKS,72,72,2358,721,1247,52,203,500,686,159,739,424,92,110,268,232,1994,53.38333333333334
2,westbru01,Russell Westbrook,POINT_GUARD,30,OKLAHOMA_CITY_THUNDER,73,73,2630,630,1473,119,411,296,451,109,698,784,142,33,325,245,1675,52.66301369863013
3,davisan02,Anthony Davis,CENTER,25,NEW_ORLEANS_PELICANS,56,56,1850,530,1026,48,145,344,433,174,498,218,88,135,112,132,1452,52.13214285714286
4,embiijo01,Joel Embiid,CENTER,24,PHILADELPHIA_76ERS,64,64,2154,580,1199,79,263,522,649,160,711,234,46,122,226,211,1761,51.05
5,jamesle01,LeBron James,SMALL_FORWARD,34,LOS_ANGELES_LAKERS,55,55,1937,558,1095,111,327,278,418,57,408,454,72,33,197,94,1505,50.127272727272725
6,georgpa01,Paul George,SMALL_FORWARD,28,OKLAHOMA_CITY_THUNDER,77,77,2841,707,1614,292,757,453,540,105,523,318,170,34,205,214,2159,46.65714285714286
7,townska01,Karl-Anthony Towns,CENTER,23,MINNESOTA_TIMBERWOLVES,77,77,2545,681,1314,142,355,376,450,263,691,259,67,125,240,292,1880,46.1987012987013
8,jokicni01,Nikola Jokić,CENTER,23,DENVER_NUGGETS,80,80,2504,616,1206,83,270,289,352,228,637,580,108,55,248,228,1604,44.875
9,vucevni01,Nikola Vučević,CENTER,28,ORLANDO_MAGIC,80,80,2510,701,1354,84,231,179,227,224,736,307,81,89,159,157,1665,43.23125
10,duranke01,Kevin Durant,SMALL_FORWARD,30,GOLDEN_STATE_WARRIORS,78,78,2702,721,1383,137,388,448,506,33,464,457,58,84,225,155,2027,43.17820512820513
11,drumman01,Andre Drummond,CENTER,25,DETROIT_PISTONS,79,79,2647,561,1052,5,38,243,412,423,809,112,136,138,175,272,1370,42.903797468354426
12,leonaka01,Kawhi Leonard,SMALL_FORWARD,27,TORONTO_RAPTORS,60,60,2040,560,1129,112,302,364,426,78,361,199,106,24,121,87,1596,42.67166666666667
13,curryst01,Stephen Curry,POINT_GUARD,30,GOLDEN_STATE_WARRIORS,69,69,2331,632,1340,354,810,263,287,45,324,361,92,25,192,166,1881,42.13478260869565
14,lillada01,Damian Lillard,POINT_GUARD,28,PORTLAND_TRAIL_BLAZERS,80,80,2838,681,1533,237,643,468,513,68,303,551,88,34,212,148,2067,42.13375
15,irvinky01,Kyrie Irving,POINT_GUARD,26,BOSTON_CELTICS,67,67,2214,604,1241,174,434,214,245,71,264,464,103,34,172,167,1596,41.73134328358209
16,bealbr01,Bradley Beal,SHOOTING_GUARD,25,WASHINGTON_WIZARDS,82,82,3028,764,1609,209,596,362,448,89,322,448,121,58,224,226,2099,41.44146341463414
17,walkeke02,Kemba Walker,POINT_GUARD,28,CHARLOTTE_HORNETS,82,82,2863,731,1684,260,731,380,450,52,309,484,102,34,211,131,2102,40.514634146341464
18,holidjr01,Jrue Holiday,SHOOTING_GUARD,28,NEW_ORLEANS_PELICANS,67,67,2402,547,1159,118,363,208,271,75,259,518,109,54,210,148,1420,40.5044776119403
19,griffbl01,Blake Griffin,POWER_FORWARD,29,DETROIT_PISTONS,75,75,2622,619,1341,189,522,414,550,100,465,402,52,28,253,199,1841,40.38666666666666
20,simmobe01,Ben Simmons,POINT_GUARD,22,PHILADELPHIA_76ERS,79,79,2700,540,960,0,6,257,428,172,525,610,112,61,274,209,1337,40.005063291139244
21,bookede01,Devin Booker,SHOOTING_GUARD,22,PHOENIX_SUNS,64,64,2242,586,1255,135,414,393,454,39,226,433,56,13,264,200,1700,39.7109375
22,walljo01,John Wall,POINT_GUARD,28,WASHINGTON_WIZARDS,32,32,1104,245,552,51,169,122,175,15,101,279,49,29,121,71,663,39.240625
23,doncilu01,Luka Dončić,SHOOTING_GUARD,19,DALLAS_MAVERICKS,72,72,2318,506,1186,168,514,346,485,86,477,429,77,25,247,137,1526,38.918055555555554
24,goberru01,Rudy Gobert,CENTER,26,UTAH_JAZZ,81,80,2577,476,712,0,0,332,522,309,732,161,66,187,130,231,1284,38.89753086419753
25,derozde01,DeMar DeRozan,SHOOTING_GUARD,29,SAN_ANTONIO_SPURS,77,77,2688,631,1313,7,45,366,441,54,408,475,86,36,199,177,1635,38.27142857142857
26,aldrila01,LaMarcus Aldridge,CENTER,33,SAN_ANTONIO_SPURS,81,81,2687,684,1319,10,42,349,412,251,493,194,43,107,144,179,1727,37.86172839506173
27,capelca01,Clint Capela,CENTER,24,HOUSTON_ROCKETS,67,67,2249,474,732,0,0,166,261,298,550,96,44,102,94,168,1114,36.919402985074626
28,randlju01,Julius Randle,POWER_FORWARD,24,NEW_ORLEANS_PELICANS,73,49,2232,571,1089,67,195,356,487,162,472,229,52,45,208,246,1565,36.37397260273973
29,conlemi01,Mike Conley,POINT_GUARD,31,MEMPHIS_GRIZZLIES,70,70,2342,490,1120,155,426,343,406,40,199,449,94,22,130,123,1478,36.29
